Date,High,Low,Open,Close,Volume,Adj Close,High-Low (Volatility),Close-Open
23 11 2015,2095.610107,2081.389893,2089.409912,2086.590088,3587980000,2086.590088,14.22021484,-2.819824219
24 11 2015,2094.120117,2070.290039,2084.419922,2089.139893,3884930000,2089.139893,23.83007813,4.719970703
25 11 2015,2093,2086.300049,2089.300049,2088.870117,2852940000,2088.870117,6.699951172,-0.429931641
26 11 2015,2093,2086.300049,2089.300049,2088.870117,2852940000,2088.870117,6.699951172,-0.429931641
27 11 2015,2093.290039,2084.129883,2088.820068,2090.110107,1466840000,2090.110107,9.16015625,1.290039063
28 11 2015,2093.290039,2084.129883,2088.820068,2090.110107,1466840000,2090.110107,9.16015625,1.290039063
29 11 2015,2093.290039,2084.129883,2088.820068,2090.110107,1466840000,2090.110107,9.16015625,1.290039063
30 11 2015,2093.810059,2080.409912,2090.949951,2080.409912,4275030000,2080.409912,13.40014648,-10.54003906
1 12 2015,2103.370117,2082.929932,2082.929932,2102.629883,3712120000,2102.629883,20.44018555,19.69995117
2 12 2015,2104.27002,2077.110107,2101.709961,2079.51001,3950640000,2079.51001,27.15991211,-22.19995117
3 12 2015,2085,2042.349976,2080.709961,2049.620117,4306490000,2049.620117,42.65002441,-31.08984375
4 12 2015,2093.840088,2051.23999,2051.23999,2091.689941,4214910000,2091.689941,42.60009766,40.44995117
5 12 2015,2093.840088,2051.23999,2051.23999,2091.689941,4214910000,2091.689941,42.60009766,40.44995117
6 12 2015,2093.840088,2051.23999,2051.23999,2091.689941,4214910000,2091.689941,42.60009766,40.44995117
7 12 2015,2090.419922,2066.780029,2090.419922,2077.070068,4043820000,2077.070068,23.63989258,-13.34985352
8 12 2015,2073.850098,2052.320068,2073.389893,2063.590088,4173570000,2063.590088,21.5300293,-9.799804688
9 12 2015,2080.330078,2036.530029,2061.169922,2047.619995,4385250000,2047.619995,43.80004883,-13.54992676
10 12 2015,2067.649902,2045.670044,2047.930054,2052.22998,3715150000,2052.22998,21.9798584,4.299926758
11 12 2015,2047.27002,2008.800049,2047.27002,2012.369995,4301060000,2012.369995,38.4699707,-34.90002441
12 12 2015,2047.27002,2008.800049,2047.27002,2012.369995,4301060000,2012.369995,38.4699707,-34.90002441
13 12 2015,2047.27002,2008.800049,2047.27002,2012.369995,4301060000,2012.369995,38.4699707,-34.90002441
14 12 2015,2022.920044,1993.26001,2013.369995,2021.939941,4612440000,2021.939941,29.66003418,8.569946289
15 12 2015,2053.870117,2025.550049,2025.550049,2043.410034,4353540000,2043.410034,28.32006836,17.85998535
16 12 2015,2076.719971,2042.430054,2046.5,2073.070068,4635450000,2073.070068,34.28991699,26.57006836
